logit_threshold,price_edge_threshold,fold,bets,fight_coverage,hit_rate,mean_model_p,mean_raw_p,calibration_gap,mean_price_edge,mean_signed_logit_residual,mean_model_implied_ev_margin,cards,bets_per_card
0.5,0.0,2024,4,0.011869436201780416,0.75,0.5101354196667671,0.4607683982683982,0.23986458033323288,0.04936702139836885,0.5276384539949758,0.12245197029727878,4,1.0
0.5,0.01,2021,22,0.04888888888888889,0.2727272727272727,0.35259575803171506,0.2947273070365304,-0.07986848530444235,0.05786845099518463,0.5964052418380063,0.22264532419768238,18,1.2222222222222223
0.5,0.01,2022,13,0.03002309468822171,0.15384615384615385,0.3291589067532466,0.2784413407145208,-0.17531275290709275,0.05071756603872576,0.5668657566593406,0.22124764688758763,12,1.0833333333333333
0.5,0.01,2023,7,0.018229166666666668,0.42857142857142855,0.32113643629210337,0.28064316635745207,0.10743499227932518,0.040493269934651285,0.5376908041611318,0.2285165026074363,7,1.0
0.5,0.01,2024,4,0.011869436201780416,0.75,0.5101354196667671,0.4607683982683982,0.23986458033323288,0.04936702139836885,0.5276384539949758,0.12245197029727878,4,1.0
0.5,0.02,2021,22,0.04888888888888889,0.2727272727272727,0.35259575803171506,0.2947273070365304,-0.07986848530444235,0.05786845099518463,0.5964052418380063,0.22264532419768238,18,1.2222222222222223
0.5,0.02,2022,13,0.03002309468822171,0.15384615384615385,0.3291589067532466,0.2784413407145208,-0.17531275290709275,0.05071756603872576,0.5668657566593406,0.22124764688758763,12,1.0833333333333333
0.5,0.02,2023,7,0.018229166666666668,0.42857142857142855,0.32113643629210337,0.28064316635745207,0.10743499227932518,0.040493269934651285,0.5376908041611318,0.2285165026074363,7,1.0
0.5,0.02,2024,4,0.011869436201780416,0.75,0.5101354196667671,0.4607683982683982,0.23986458033323288,0.04936702139836885,0.5276384539949758,0.12245197029727878,4,1.0
0.5,0.03,2021,21,0.04666666666666667,0.23809523809523808,0.3416267072870618,0.2823069142499101,-0.10353146919182371,0.059319793037151625,0.5965890685414568,0.23089974522590626,17,1.2352941176470589
0.5,0.03,2022,13,0.03002309468822171,0.15384615384615385,0.3291589067532466,0.2784413407145208,-0.17531275290709275,0.05071756603872576,0.5668657566593406,0.22124764688758763,12,1.0833333333333333
0.5,0.03,2023,5,0.013020833333333334,0.4,0.3075060352683067,0.25956709956709956,0.0924939647316933,0.04793893570120716,0.5385167091939046,0.25066597491502757,5,1.0
0.5,0.03,2024,4,0.011869436201780416,0.75,0.5101354196667671,0.4607683982683982,0.23986458033323288,0.04936702139836885,0.5276384539949758,0.12245197029727878,4,1.0
0.5,0.05,2021,14,0.03111111111111111,0.2857142857142857,0.3673786936061723,0.2983203153524562,-0.08166440789188661,0.06905837825371604,0.6270438825976752,0.2547383557472909,12,1.1666666666666667
0.5,0.05,2022,6,0.013856812933025405,0.16666666666666666,0.3678179557124774,0.30611518111518116,-0.20115128904581073,0.06170277459729623,0.5802007982725851,0.2155864437421163,5,1.2
0.5,0.05,2023,2,0.005208333333333333,0.5,0.3610745668411255,0.2987012987012987,0.1389254331588745,0.06237326813982677,0.5509083485619952,0.2705210924148559,2,1.0
0.5,0.05,2024,2,0.005934718100890208,0.5,0.4483374208211899,0.3869047619047619,0.05166257917881012,0.06143265891642796,0.5293395140199011,0.17502222277901391,2,1.0
0.5,0.075,2021,4,0.008888888888888889,0.0,0.34115179255604744,0.25760736265343553,-0.34115179255604744,0.08354442990261193,0.6968886931345397,0.3550677012652158,4,1.0
0.5,0.075,2022,0,0.0,,,,,,,,0,
0.5,0.075,2023,0,0.0,,,,,,,,0,
0.5,0.075,2024,0,0.0,,,,,,,,0,
0.5,0.1,2021,0,0.0,,,,,,,,0,
0.5,0.1,2022,0,0.0,,,,,,,,0,
0.5,0.1,2023,0,0.0,,,,,,,,0,
0.5,0.1,2024,0,0.0,,,,,,,,0,
