fight_id,red_name,blue_name,winner_name,method,variant,actual_red_win,predicted_red_win,red_rounds,blue_rounds,tied_rounds,correct
5ce29056e0cd2df9,Montel Jackson,Daniel Marcos,Montel Jackson,Decision - Unanimous,SIG_KD_TD_CTRL,1,1.0,3,0,0,True
5ce29056e0cd2df9,Montel Jackson,Daniel Marcos,Montel Jackson,Decision - Unanimous,OLD_FULL,1,1.0,3,0,0,True
5ce29056e0cd2df9,Montel Jackson,Daniel Marcos,Montel Jackson,Decision - Unanimous,DAMAGE_FIRST,1,1.0,3,0,0,True
6ccd10adc968e1f0,Cameron Smotherman,Serhiy Sidey,Serhiy Sidey,Decision - Unanimous,SIG_ONLY,0,1.0,2,1,0,False
6ccd10adc968e1f0,Cameron Smotherman,Serhiy Sidey,Serhiy Sidey,Decision - Unanimous,SIG_KD,0,1.0,2,1,0,False
6ccd10adc968e1f0,Cameron Smotherman,Serhiy Sidey,Serhiy Sidey,Decision - Unanimous,SIG_KD_TD,0,0.0,1,2,0,True
6ccd10adc968e1f0,Cameron Smotherman,Serhiy Sidey,Serhiy Sidey,Decision - Unanimous,SIG_KD_TD_CTRL,0,0.0,1,2,0,True
6ccd10adc968e1f0,Cameron Smotherman,Serhiy Sidey,Serhiy Sidey,Decision - Unanimous,OLD_FULL,0,0.0,0,3,0,True
6ccd10adc968e1f0,Cameron Smotherman,Serhiy Sidey,Serhiy Sidey,Decision - Unanimous,DAMAGE_FIRST,0,1.0,2,1,0,False
9039959b41901412,Jeremy Stephens,Mason Jones,Mason Jones,Decision - Unanimous,SIG_ONLY,0,0.0,0,3,0,True
9039959b41901412,Jeremy Stephens,Mason Jones,Mason Jones,Decision - Unanimous,SIG_KD,0,0.0,0,3,0,True
9039959b41901412,Jeremy Stephens,Mason Jones,Mason Jones,Decision - Unanimous,SIG_KD_TD,0,0.0,0,3,0,True
