fight_id,path,side,fighter_name,duration,control_hit_cap,final_td_control_shift,sim_distance_attempted,sim_distance_landed,sim_clinch_attempted,sim_clinch_landed,sim_ground_attempted,sim_ground_landed,sim_td_attempted,sim_td_landed,sim_qualified_control_inflicted_seconds
55376d5c205fa844,17,blue,Saimon Oliveira,278.0,0.0,0.34691981087755475,33.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,40.0
55376d5c205fa844,18,red,David Martinez,278.0,0.0,0.0,23.0,11.0,0.0,0.0,33.0,24.0,1.0,1.0,40.0
55376d5c205fa844,18,blue,Saimon Oliveira,278.0,0.0,0.0,46.0,19.0,2.0,1.0,28.0,17.0,1.0,1.0,80.0
55376d5c205fa844,19,red,David Martinez,278.0,0.0,1.387679243510219,48.0,19.0,0.0,0.0,3.0,2.0,5.0,5.0,60.0
55376d5c205fa844,19,blue,Saimon Oliveira,278.0,0.0,1.387679243510219,43.0,19.0,2.0,2.0,0.0,0.0,1.0,1.0,10.0
5ba7dd466e30169f,0,red,Ronaldo Rodriguez,900.0,0.0,-0.34691981087755475,62.0,26.0,15.0,12.0,7.0,5.0,0.0,0.0,140.0
5ba7dd466e30169f,0,blue,Kevin Borjas,900.0,0.0,-0.34691981087755475,67.0,22.0,0.0,0.0,0.0,0.0,1.0,1.0,300.0
5ba7dd466e30169f,1,red,Ronaldo Rodriguez,900.0,0.0,0.0,114.0,55.0,9.0,8.0,0.0,0.0,2.0,2.0,480.0
5ba7dd466e30169f,1,blue,Kevin Borjas,900.0,0.0,0.0,143.0,67.0,2.0,2.0,0.0,0.0,6.0,2.0,270.0
5ba7dd466e30169f,2,red,Ronaldo Rodriguez,900.0,0.0,0.0,153.0,63.0,6.0,5.0,43.0,35.0,0.0,0.0,40.0
5ba7dd466e30169f,2,blue,Kevin Borjas,900.0,0.0,0.0,31.0,13.0,14.0,8.0,3.0,3.0,0.0,0.0,20.0
5ba7dd466e30169f,3,red,Ronaldo Rodriguez,900.0,0.0,0.0,171.0,74.0,4.0,3.0,50.0,36.0,2.0,0.0,80.0
5ba7dd466e30169f,3,blue,Kevin Borjas,900.0,0.0,0.0,111.0,47.0,3.0,2.0,1.0,0.0,0.0,0.0,70.0
5ba7dd466e30169f,4,red,Ronaldo Rodriguez,900.0,0.0,0.34691981087755475,212.0,79.0,11.0,9.0,0.0,0.0,2.0,1.0,90.0
5ba7dd466e30169f,4,blue,Kevin Borjas,900.0,0.0,0.34691981087755475,55.0,27.0,3.0,3.0,0.0,0.0,3.0,0.0,140.0
